family	S149	S150	S152	S153	S157	S113	S114	S130	S146	S802	S20	S27	S32	S45	S107	taxonomy
f_Leptotrichiaceae	0	0	189.7156	0	9.4221	0	9.2557	635.5182	30.4291	2530.3736	39.5603	877.3915	870.4852	30.9908	19.8956	d_Bacteria;p_Fusobacteriota;c_Fusobacteriia;o_Fusobacteriales;f_Leptotrichiaceae
f_Streptosporangiaceae	596.8105	1212.0877	256.1432	276.6116	470.4425	401.6862	650.5414	39.6841	402.58	274.597	2.4885	26.8093	108.7647	319.8152	122.0776	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Streptosporangiales;f_Streptosporangiaceae
f_Unclassified_o_Enterobacterales	9.267	9.4899	247.8295	328.1203	82.8108	336.5794	817.6999	93.0094	104.581	11.1649	1879.1703	115.1748	626.8476	439.4275	50.7884	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Unclassified_o_Enterobacterales
f_Sphingobacteriaceae	126.0457	148.3982	809.9417	779.6942	409.6348	716.4288	586.7277	5.1356	412.2816	9.4428	6.176	158.4142	0	970.7691	9.7273	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Sphingobacteriales;f_Sphingobacteriaceae
f_Bryobacteraceae	201.868	1746.9146	666.303	263.257	285.8714	171.0239	1007.7906	41.7147	181.746	186.0459	2.0792	9.2511	0	329.2735	21.1594	d_Bacteria;p_Acidobacteriota;c_Acidobacteriae;o_Bryobacterales;f_Bryobacteraceae
f_Fibrobacteraceae	12.0579	0	1172.7956	1053.5065	214.1017	893.8422	558.4164	0	390.4197	0	2.1831	0	0	752.3834	0.2409	d_Bacteria;p_Fibrobacterota;c_Fibrobacteria;o_Fibrobacterales;f_Fibrobacteraceae
f_Melioribacteraceae	0	0	1060.6143	705.5393	303.8566	1277.259	381.5171	0	295.9639	54.6124	0	0	0	887.1337	0	d_Bacteria;p_Bacteroidota;c_Ignavibacteria;o_Ignavibacteriales;f_Melioribacteraceae
f_Saprospiraceae	76.8159	127.3429	853.0396	1112.1397	196.9573	823.6034	608.5538	24.885	116.1075	11.0363	24.3796	18.348	133.1966	736.4268	21.7611	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Chitinophagales;f_Saprospiraceae
f_Unclassified_c_Cyanobacteriia	104.0615	350.1327	535.0875	1025.6356	228.4378	771.6421	682.4888	0	689.922	91.5651	1.1975	1.6922	29.0864	339.5053	0	d_Bacteria;p_Cyanobacteria;c_Cyanobacteriia;o_Unclassified_c_Cyanobacteriia;f_Unclassified_c_Cyanobacteriia
f_Unclassified_o_Bacteroidales	168.8259	487.7874	475.5757	674.3585	203.9371	884.3546	534.9997	0	223.0898	224.2679	8.0627	31.2797	32.2577	547.4949	9.3291	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Bacteroidales;f_Unclassified_o_Bacteroidales
f_Microcoleaceae	18.9166	88.0758	760.3956	833.1297	170.4464	538.2311	825.804	11.3205	416.031	10.1775	0	0	0	762.3088	2.1487	d_Bacteria;p_Cyanobacteria;c_Cyanobacteriia;o_Cyanobacteriales;f_Microcoleaceae
f_Oscillospiraceae	127.7093	219.5108	340.25	412.6415	720.5095	322.2019	279.2687	23.842	177.0434	112.0706	418.755	20.9897	655.8197	520.0159	67.1575	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Oscillospirales;f_Oscillospiraceae
f_Anaerovoracaceae	255.4289	961.6661	396.828	315.9793	238.4151	490.9761	460.4259	345.3284	121.3909	215.8025	9.713	7.3571	119.3848	403.8601	33.3873	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Peptostreptococcales;f_Anaerovoracaceae
f_Planococcaceae	22.5911	0	528.3203	820.6078	185.505	883.1609	390.5658	25.1342	166.2236	10.8331	296.506	2.8456	111.6323	705.4435	190.1188	d_Bacteria;p_Firmicutes;c_Bacilli;o_Bacillales A;f_Planococcaceae
f_Acetobacteraceae	71.054	159.7963	130.1454	724.4228	433.0665	635.6544	643.0942	5.3058	137.8285	184.0443	2.0838	357.0247	11.7476	453.2438	235.6595	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Acetobacterales;f_Acetobacteraceae
