#ID	S113	S114	S130	S146	S802	S20	S27	S32	S45	S107
Bacteria.Proteobacteria.Gammaproteobacteria.Burkholderiales.Burkholderiaceae.Paenalcaligenes.Paenalcaligenes_sp012839585	0	0	1	0	0	9	45	44	0	12087
Bacteria.Proteobacteria.Alphaproteobacteria.Caulobacterales.Caulobacteraceae.Brevundimonas.Brevundimonas_bullata	0	0	8	3	6	8	11547	42	0	461
Bacteria.Actinobacteriota.Actinomycetia.Propionibacteriales.Nocardioidaceae.Aeromicrobium.unclassified_Aeromicrobium	0	4	11	0	16	5	7124	6	0	4242
Bacteria.Proteobacteria.Alphaproteobacteria.Caulobacterales.Caulobacteraceae.Phenylobacterium.unclassified_Phenylobacterium	0	0	2	1	4	5	11324	9	0	49
Bacteria.Firmicutes_A.Clostridia.Clostridiales.Clostridiaceae.Clostridium.unclassified_Clostridium	0	25	2843	0	2	4446	187	653	17	3027
Bacteria.Proteobacteria.Gammaproteobacteria.Xanthomonadales.Xanthomonadaceae.Lysobacter.Lysobacter_sp015209765	0	0	4	0	0	3	538	2	0	10644
Bacteria.Proteobacteria.Alphaproteobacteria.Rhodobacterales.Rhodobacteraceae.Rhodobacter_F.Rhodobacter_F_sphaeroides_A	0	0	26	0	0	0	40	5	0	11037
Bacteria.Firmicutes_A.Clostridia.Clostridiales.Clostridiaceae.Clostridium_P.unclassified_Clostridium_P	0	22	2836	4	1	6128	199	1383	8	271
Bacteria.Fusobacteriota.Fusobacteriia.Fusobacteriales.Fusobacteriaceae.Cetobacterium_A.Cetobacterium_A_somerae	3	9	8192	0	0	735	222	1045	170	84
Bacteria.Proteobacteria.Gammaproteobacteria.Enterobacterales.Enterobacteriaceae.Escherichia.Escherichia_coli_E	0	0	27	17	4	9348	260	623	0	70
Bacteria.Proteobacteria.Gammaproteobacteria.Burkholderiales.Burkholderiaceae.Melaminivora_A.unclassified_Melaminivora_A	0	0	1	2	3	2	9947	11	0	163
Bacteria.Proteobacteria.Gammaproteobacteria.Enterobacterales.Vibrionaceae.unclassified_Vibrionaceae.unclassified_Vibrionaceae	1465	841	494	1380	2	584	97	508	1343	13
Bacteria.Proteobacteria.Gammaproteobacteria.Pseudomonadales.Pseudomonadaceae.Pseudomonas_E.Pseudomonas_E_putida	1	0	14	4	0	4	202	212	0	9424
Bacteria.Proteobacteria.Gammaproteobacteria.Burkholderiales.Burkholderiaceae.Pulveribacter.Pulveribacter_sp002434305	0	0	1	4	0	3	9028	5	0	110
Bacteria.Actinobacteriota.Actinomycetia.Mycobacteriales.Mycobacteriaceae.unclassified_Mycobacteriaceae.unclassified_Mycobacteriaceae	14	12	78	176	607	64	356	122	1	7235
Bacteria.Actinobacteriota.Actinomycetia.Actinomycetales.Microbacteriaceae.Microbacterium.unclassified_Microbacterium	0	2	28	18	76	6	215	12	0	8503
Bacteria.Proteobacteria.Gammaproteobacteria.Enterobacterales.unclassified_Enterobacterales.unclassified_Enterobacterales.unclassified_Enterobacterales	21	168	73	22	6	7451	289	350	39	387
Bacteria.Fusobacteriota.Fusobacteriia.Fusobacteriales.Fusobacteriaceae.Fusobacterium_A.unclassified_Fusobacterium_A	0	14	1157	0	0	6742	332	234	66	100
Bacteria.Proteobacteria.Gammaproteobacteria.Burkholderiales.Burkholderiaceae.Giesbergeria.Giesbergeria_psychrophila	0	0	1	7	2	4	8214	15	0	254
Bacteria.Firmicutes.Bacilli.Lactobacillales.Aerococcaceae.Fundicoccus.Fundicoccus_ignavus	0	0	1	7	4	2	20	8	0	8343
Bacteria.Proteobacteria.Gammaproteobacteria.Xanthomonadales.Xanthomonadaceae.Stenotrophomonas.Stenotrophomonas_maltophilia_AQ	0	0	7	4	0	0	99	87	0	8029
Bacteria.Proteobacteria.Gammaproteobacteria.Pseudomonadales.Pseudomonadaceae.unclassified_Pseudomonadaceae.unclassified_Pseudomonadaceae	0	0	0	5	2	53	1386	66	0	6582
Bacteria.Proteobacteria.Gammaproteobacteria.Enterobacterales.Enterobacteriaceae.Citrobacter.unclassified_Citrobacter	0	0	23	13	4	6601	276	218	0	494
Bacteria.Proteobacteria.Alphaproteobacteria.Rhizobiales_A.Rhizobiaceae_A.Ochrobactrum.unclassified_Ochrobactrum	0	0	2	5	2	0	8	6	0	7602
Bacteria.Actinobacteriota.Actinomycetia.Actinomycetales.Actinomycetaceae.Boudabousia.Boudabousia_tangfeifanii	2	2	13	36	122	24	222	204	0	6847
Bacteria.Proteobacteria.Gammaproteobacteria.Enterobacterales.Enterobacteriaceae.Escherichia.Escherichia_albertii	0	0	14	3	6	6841	187	411	0	46
Bacteria.Proteobacteria.Gammaproteobacteria.Xanthomonadales.unclassified_Xanthomonadales.unclassified_Xanthomonadales.unclassified_Xanthomonadales	1	0	19	0	1	2	1702	30	0	5645
Bacteria.Actinobacteriota.Actinomycetia.Actinomycetales.Microbacteriaceae.Leucobacter.Leucobacter_sulfamidivorax	0	0	7	0	6	0	77	6	0	7351
Bacteria.Proteobacteria.Gammaproteobacteria.Enterobacterales.Pasteurellaceae.unclassified_Pasteurellaceae.unclassified_Pasteurellaceae	10	618	176	78	1	4191	2180	40	32	5
Bacteria.Bacteroidota.Bacteroidia.unclassified_Bacteroidia.unclassified_Bacteroidia.unclassified_Bacteroidia.unclassified_Bacteroidia	170	89	201	108	14	131	5344	46	121	577
